entry_number,inci_name,normalized_inci_name,recognition_source,source_document,source_eli,extracted_from_pdf
1,(20S)-PROTOPANAXADIOL,(20S)-PROTOPANAXADIOL,EU_Glossary_2025_1175,Commission Implementing Decision (EU) 2025/1175 - Annex: Glossary of common ingredient names,http://data.europa.eu/eli/dec_impl/2025/1175/oj,OJ_L_202501175_EN_TXT (1).pdf
2,(ACORI GRAMINEI/DISCOREA JAPONICA/PUERARIA MONTANA ROOT)/(LEONURUS CARDIACA LEAF/STEM)/(ACTAEA RACEMOSA ROOT/STEM)/SOYBEAN SEED EXTRACT,(ACORI GRAMINEI/DISCOREA JAPONICA/PUERARIA MONTANA ROOT)/(LEONURUS CARDIACA LEAF/STEM)/(ACTAEA RACEMOSA ROOT/STEM)/SOYBEAN SEED EXTRACT,EU_Glossary_2025_1175,Commission Implementing Decision (EU) 2025/1175 - Annex: Glossary of common ingredient names,http://data.europa.eu/eli/dec_impl/2025/1175/oj,OJ_L_202501175_EN_TXT (1).pdf
3,(ACTAEA HERACLEIFOLIA/PAEONIA LATIFLORA/RHEUM RHAPONTICUM/SCUTELLARIA BAICALENSIS) ROOT/PHELLODENDRON AMURENSE BARK EXTRACT,(ACTAEA HERACLEIFOLIA/PAEONIA LATIFLORA/RHEUM RHAPONTICUM/SCUTELLARIA BAICALENSIS) ROOT/PHELLODENDRON AMURENSE BARK EXTRACT,EU_Glossary_2025_1175,Commission Implementing Decision (EU) 2025/1175 - Annex: Glossary of common ingredient names,http://data.europa.eu/eli/dec_impl/2025/1175/oj,OJ_L_202501175_EN_TXT (1).pdf
4,(ADONIS AMURENSIS/AKEBIA QUINATA/ALBIZIA JULIBRISSIN/ALTHAEA ROSEA/ANGELICA ACUTILOBA/ANGELICA ANOMALA/AQUILEGIA BUERGERIANA/ARTEMISIA PRINCEPS/ASTER CILIOSUS/ASTER SCABER/BRASSICA CAMPESTRIS/BROUSSONETIA KAZINOKI/CALLISTEPHUS CHINENSIS/CAMELLIA JAPONICA/CAMELLIA SINENSIS/CAMPSIS GRANDIFLORA/CARAGANA SINICA/CARTHAMUSTINCTORIUS/CASSIA OBTUSIFOLIA/CELOSIA CRISTATA/CERCIS CHINENSIS/CHAENOMELES SINENSIS/CHRYSANTHEMUM INDICUM/CHRYSANTHEMUM ZAWADSKII/CLEMATIS TERNIFLORA/COMMELINA COMMUNIS/CORNUS KOUSA/CORNUS OFFICINALIS/CORYDALIS INCISA/CORYDALIS TURTSCHANINOVII/CUCURBITA MOSCHATE/DENDROBIUM NOBILE/DIANTHUS CHINENSIS/ELSHOLTZIA SPLENDENS/EUPATORIUM LINDLEYANUM/FORSYTHIA KOREANA/FRITILLARIA USSURIENSIS/GARDENIA JASMINOIDES/GINKGO BILOBA/HELIANTHUS ANNUUS/HELIANTHUS TUBEROSUS/HEMEROCALLIS FULVA/HIBISCUS MUTABILIS/HIBISCUS SYRIACUS/HOSTA PLANTAGINAE/HYDRANGEA MACROPHYLLA/IMPATIENS BALSAMINA/IPOMOEA HEDERACEA/IRIS PALLASII/IRIS PSEUDACORUS/KERRIA JAPONICA/LAGERSTROEMIA INDICA/LEONURUS SIBIRICUS/LESPEDEZA BICOLOR/LILIUM LANCIFOLIUM/LINDERA OBTUSILOBA/LIRIOPES MUSCARI/LONICERA JAPONICA/LYCORIS RADIATA/MAGNOLIA KOBUS/MAGNOLIA LILIFLORA/MALUS SIEBOLDII/NARCISSUS TAZETTA/NELUMBO NUCIFERA/OENOTHERA BIENNIS/PAEONIA LACTIFLORA/PAEONIA SUFFRUTICOSA/PAPAVER RHOEAS/PATRINIA SCABIOSIFOLIA/PAULOWNIA COREANA/PERSICARIA THUNBERGII/PETASITES JAPONICUS/PLATYCODON GRANDIFLORUS/POLYGONUM ODORATUM/PONICIRUS TRIFOLIATA/PRUNUS ARMENIACA/PRUNUS MUME/PRUNUS PERSICA/PRUNUS SERRULATA/PRUNUS TOMENTOSA/PUERARIA LOBATA/PUNICA GRANATUM/RHODODENDRON MUCRONULATUM/ROBINIA PSEUDACACIA/ROSA MULTIFLORA/ROSA RUGOSA/SASA BOREALIS/SOPHORA JAPONICA/SPIRAEA PRUNIFOLIA/STYRAX JAPONICA/SYRINGA VULGARIS/TARAXACUM PLATYCARPUM/TULIPA EDULIS/VIOLA MANDSCHURICA/WEIGELA SUBSESSILIS/WISTERIA SINENSIS/ZANTHOXYLUM SCHINIFOLIUM/ZEA MAYS/ZINGIBER MIOGA/ZINNIA ELEGANS) FLOWER EXTRACT,(ADONIS AMURENSIS/AKEBIA QUINATA/ALBIZIA JULIBRISSIN/ALTHAEA ROSEA/ANGELICA ACUTILOBA/ANGELICA ANOMALA/AQUILEGIA BUERGERIANA/ARTEMISIA PRINCEPS/ASTER CILIOSUS/ASTER SCABER/BRASSICA CAMPESTRIS/BROUSSONETIA KAZINOKI/CALLISTEPHUS CHINENSIS/CAMELLIA JAPONICA/CAMELLIA SINENSIS/CAMPSIS GRANDIFLORA/CARAGANA SINICA/CARTHAMUSTINCTORIUS/CASSIA OBTUSIFOLIA/CELOSIA CRISTATA/CERCIS CHINENSIS/CHAENOMELES SINENSIS/CHRYSANTHEMUM INDICUM/CHRYSANTHEMUM ZAWADSKII/CLEMATIS TERNIFLORA/COMMELINA COMMUNIS/CORNUS KOUSA/CORNUS OFFICINALIS/CORYDALIS INCISA/CORYDALIS TURTSCHANINOVII/CUCURBITA MOSCHATE/DENDROBIUM NOBILE/DIANTHUS CHINENSIS/ELSHOLTZIA SPLENDENS/EUPATORIUM LINDLEYANUM/FORSYTHIA KOREANA/FRITILLARIA USSURIENSIS/GARDENIA JASMINOIDES/GINKGO BILOBA/HELIANTHUS ANNUUS/HELIANTHUS TUBEROSUS/HEMEROCALLIS FULVA/HIBISCUS MUTABILIS/HIBISCUS SYRIACUS/HOSTA PLANTAGINAE/HYDRANGEA MACROPHYLLA/IMPATIENS BALSAMINA/IPOMOEA HEDERACEA/IRIS PALLASII/IRIS PSEUDACORUS/KERRIA JAPONICA/LAGERSTROEMIA INDICA/LEONURUS SIBIRICUS/LESPEDEZA BICOLOR/LILIUM LANCIFOLIUM/LINDERA OBTUSILOBA/LIRIOPES MUSCARI/LONICERA JAPONICA/LYCORIS RADIATA/MAGNOLIA KOBUS/MAGNOLIA LILIFLORA/MALUS SIEBOLDII/NARCISSUS TAZETTA/NELUMBO NUCIFERA/OENOTHERA BIENNIS/PAEONIA LACTIFLORA/PAEONIA SUFFRUTICOSA/PAPAVER RHOEAS/PATRINIA SCABIOSIFOLIA/PAULOWNIA COREANA/PERSICARIA THUNBERGII/PETASITES JAPONICUS/PLATYCODON GRANDIFLORUS/POLYGONUM ODORATUM/PONICIRUS TRIFOLIATA/PRUNUS ARMENIACA/PRUNUS MUME/PRUNUS PERSICA/PRUNUS SERRULATA/PRUNUS TOMENTOSA/PUERARIA LOBATA/PUNICA GRANATUM/RHODODENDRON MUCRONULATUM/ROBINIA PSEUDACACIA/ROSA MULTIFLORA/ROSA RUGOSA/SASA BOREALIS/SOPHORA JAPONICA/SPIRAEA PRUNIFOLIA/STYRAX JAPONICA/SYRINGA VULGARIS/TARAXACUM PLATYCARPUM/TULIPA EDULIS/VIOLA MANDSCHURICA/WEIGELA SUBSESSILIS/WISTERIA SINENSIS/ZANTHOXYLUM SCHINIFOLIUM/ZEA MAYS/ZINGIBER MIOGA/ZINNIA ELEGANS) FLOWER EXTRACT,EU_Glossary_2025_1175,Commission Implementing Decision (EU) 2025/1175 - Annex: Glossary of common ingredient names,http://data.europa.eu/eli/dec_impl/2025/1175/oj,OJ_L_202501175_EN_TXT (1).pdf
5,(AGARICUS BLAZEI FERMENT + GANODERMA LUCIDUM FERMENT + GANODERMA MULTIPILEUM FERMENT) EXTRACT,(AGARICUS BLAZEI FERMENT + GANODERMA LUCIDUM FERMENT + GANODERMA MULTIPILEUM FERMENT) EXTRACT,EU_Glossary_2025_1175,Commission Implementing Decision (EU) 2025/1175 - Annex: Glossary of common ingredient names,http://data.europa.eu/eli/dec_impl/2025/1175/oj,OJ_L_202501175_EN_TXT (1).pdf
6,(ALBIZIA JULIBRISSIN/TILIA CORDATA) FLOWER/MOMORDICA CHARANTIA FRUIT/GLYCINE MAX SEED/CENTELLA ASIATICA/VISCUM ALBUM EXTRACT,(ALBIZIA JULIBRISSIN/TILIA CORDATA) FLOWER/MOMORDICA CHARANTIA FRUIT/GLYCINE MAX SEED/CENTELLA ASIATICA/VISCUM ALBUM EXTRACT,EU_Glossary_2025_1175,Commission Implementing Decision (EU) 2025/1175 - Annex: Glossary of common ingredient names,http://data.europa.eu/eli/dec_impl/2025/1175/oj,OJ_L_202501175_EN_TXT (1).pdf
7,(ALPINIA ZERUMBET/ARTEMISIA PRINCEPS/AVERRHOA CARAMBOLA/CAMELLIA SINENSIS/ERIOBOTRYA JAPONICA/GINKGO BILOBA/MELISSA OFFICINALIS/MENTHA PIPERITA/OLEA EUROPAEA/ORIGANUM MAJORANA/PERILLA FRUTESCENS/PRUNUS PERSICA/SALVIA OFFICINALIS) LEAF EXTRACT,(ALPINIA ZERUMBET/ARTEMISIA PRINCEPS/AVERRHOA CARAMBOLA/CAMELLIA SINENSIS/ERIOBOTRYA JAPONICA/GINKGO BILOBA/MELISSA OFFICINALIS/MENTHA PIPERITA/OLEA EUROPAEA/ORIGANUM MAJORANA/PERILLA FRUTESCENS/PRUNUS PERSICA/SALVIA OFFICINALIS) LEAF EXTRACT,EU_Glossary_2025_1175,Commission Implementing Decision (EU) 2025/1175 - Annex: Glossary of common ingredient names,http://data.europa.eu/eli/dec_impl/2025/1175/oj,OJ_L_202501175_EN_TXT (1).pdf
8,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA) ROOT/CNIDIUM OFFICINALE RHIZOME EXTRACT,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA) ROOT/CNIDIUM OFFICINALE RHIZOME EXTRACT,EU_Glossary_2025_1175,Commission Implementing Decision (EU) 2025/1175 - Annex: Glossary of common ingredient names,http://data.europa.eu/eli/dec_impl/2025/1175/oj,OJ_L_202501175_EN_TXT (1).pdf
9,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA) ROOT/(CNIDIUM OFFICINALE/ZINGIBER OFFICINALE) RHIZOME EXTRACT,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA) ROOT/(CNIDIUM OFFICINALE/ZINGIBER OFFICINALE) RHIZOME EXTRACT,EU_Glossary_2025_1175,Commission Implementing Decision (EU) 2025/1175 - Annex: Glossary of common ingredient names,http://data.europa.eu/eli/dec_impl/2025/1175/oj,OJ_L_202501175_EN_TXT (1).pdf
10,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA) ROOT/CNIDIUM OFFICINALE RHIZOME EXTRACT,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA) ROOT/CNIDIUM OFFICINALE RHIZOME EXTRACT,EU_Glossary_2025_1175,Commission Implementing Decision (EU) 2025/1175 - Annex: Glossary of common ingredient names,http://data.europa.eu/eli/dec_impl/2025/1175/oj,OJ_L_202501175_EN_TXT (1).pdf
