inci_name,category
PARFUM,Fragrance
FRAGRANCE,Fragrance
LINALOOL,Fragrance
LIMONENE,Fragrance
EUGENOL,Fragrance
CITRONELLOL,Fragrance
GERANIOL,Fragrance
COUMARIN,Fragrance
CINNAMYL ALCOHOL,Fragrance
BENZYL ALCOHOL,Fragrance
LAVANDULA ANGUSTIFOLIA OIL,Essential Oils
MENTHA PIPERITA OIL,Essential Oils
MELALEUCA ALTERNIFOLIA LEAF OIL,Essential Oils
EUCALYPTUS GLOBULUS LEAF OIL,Essential Oils
ROSMARINUS OFFICINALIS LEAF OIL,Essential Oils
CITRUS AURANTIUM DULCIS PEEL OIL,Essential Oils
PELARGONIUM GRAVEOLENS FLOWER OIL,Essential Oils
MENTHOL,Menthol
CAMPHOR,Menthol
ALCOHOL DENAT,Alcohol
ETHANOL,Alcohol
ISOPROPYL ALCOHOL,Alcohol
SODIUM LAURYL SULFATE,Sulfates
SODIUM LAURETH SULFATE,Sulfates
AMMONIUM LAURYL SULFATE,Sulfates
SODIUM COCO-SULFATE,Sulfates
METHYLISOTHIAZOLINONE,Preservatives
METHYLCHLOROISOTHIAZOLINONE,Preservatives
FORMALDEHYDE,Preservatives
QUATERNIUM-15,Preservatives
DMDM HYDANTOIN,Preservatives
IMIDAZOLIDINYL UREA,Preservatives
LANOLIN,Lanolin
LANOLIN ALCOHOL,Lanolin
GLYCERIN,Humectants
HYALURONIC ACID,Humectants
SODIUM HYALURONATE,Humectants
UREA,Humectants
PROPYLENE GLYCOL,Humectants
BUTYLENE GLYCOL,Humectants
CERAMIDE NP,Ceramides
CERAMIDE AP,Ceramides
CERAMIDE EOP,Ceramides
CERAMIDE NS,Ceramides
AVENA SATIVA KERNEL FLOUR,Colloidal Oatmeal
AVENA SATIVA KERNEL EXTRACT,Colloidal Oatmeal
SALICYLIC ACID,Keratolytics
LACTIC ACID,Keratolytics
GLYCOLIC ACID,Keratolytics
COAL TAR,Coal Tar
CAFFEINE,Hair Growth Actives
BIOTIN,Hair Growth Actives
RICINUS COMMUNIS SEED OIL,Hair Growth Actives
MINOXIDIL,Hair Growth Actives
NIACINAMIDE,Niacinamide
RETINOL,Retinoids
RETINYL PALMITATE,Retinoids
TRETINOIN,Retinoids
ISOPROPYL MYRISTATE,Comedogenic Ingredients
COCOS NUCIFERA OIL,Heavy Oils
COCONUT OIL,Heavy Oils
SHEA BUTTER,Emollients
PETROLATUM,Emollients
MINERAL OIL,Emollients
SQUALANE,Emollients
ZINC PYRITHIONE,Antifungal Agents
KETOCONAZOLE,Antifungal Agents
SELENIUM SULFIDE,Antifungal Agents
PIROCTONE OLAMINE,Antifungal Agents
CLIMBAZOLE,Antifungal Agents
AQUA,Solvent
WATER,Solvent
EAU,Solvent
AQUA/WATER,Solvent
